City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,hilo,19.7297,-155.09,82.13,79,75,1.01,US,Thu Oct 26 16:27:49 2023
116,peterhead,57.5058,-1.7981,52.2,90,100,28.74,GB,Thu Oct 26 16:34:36 2023
117,ribeira grande,38.5167,-28.7,64.8,63,20,5.75,PT,Thu Oct 26 16:34:36 2023
118,altai,46.3722,96.2583,35.96,32,12,5.26,MN,Thu Oct 26 16:34:38 2023
119,maloye ganyushkino,46.6,49.2667,50.72,90,100,15.12,KZ,Thu Oct 26 16:34:39 2023
120,haiku-pauwela,20.9219,-156.3051,82.04,70,20,8.05,US,Thu Oct 26 16:34:40 2023
121,bubaque,11.2833,-15.8333,82.71,80,68,12.03,GW,Thu Oct 26 16:34:40 2023
122,georgetown,5.4112,100.3354,79.02,92,20,4.61,MY,Thu Oct 26 16:33:03 2023
123,kapa'a,22.0752,-159.319,83.48,65,0,5.75,US,Thu Oct 26 16:34:42 2023
124,leava,-14.3,-178.1667,79.18,77,100,18.5,WF,Thu Oct 26 16:34:43 2023
125,yinchuan,38.4681,106.2731,54.32,34,0,2.15,CN,Thu Oct 26 16:34:44 2023
126,upington,-28.4478,21.2561,89.98,12,100,12.66,ZA,Thu Oct 26 16:34:45 2023
127,piti village,13.4626,144.6933,81.48,88,40,5.75,GU,Thu Oct 26 16:34:46 2023
128,kone,-21.0595,164.8658,72.86,90,100,4.43,NC,Thu Oct 26 16:34:47 2023
129,gisborne,-38.6533,178.0042,63.75,72,97,11.56,NZ,Thu Oct 26 16:31:48 2023
130,pisco,-13.7,-76.2167,68.05,83,100,8.05,PE,Thu Oct 26 16:34:48 2023
131,enewetak,11.3474,162.3373,83.35,79,100,14.9,MH,Thu Oct 26 16:34:49 2023
132,lihue,21.9789,-159.3672,82.74,66,0,5.75,US,Thu Oct 26 16:34:50 2023
133,saint-francois,46.4154,3.9054,53.04,100,75,0.0,FR,Thu Oct 26 16:34:51 2023
134,leninogorsk,54.6026,52.4609,23.85,92,9,2.73,RU,Thu Oct 26 16:34:52 2023
135,lebu,-37.6167,-73.65,55.15,77,3,12.01,CL,Thu Oct 26 16:34:53 2023
136,tromso,69.6496,18.957,37.42,93,75,6.91,NO,Thu Oct 26 16:34:54 2023
137,labrador city,52.9463,-66.9114,30.11,69,100,11.5,CA,Thu Oct 26 16:34:31 2023
138,codrington,-38.2667,141.9667,45.63,80,17,6.13,AU,Thu Oct 26 16:34:55 2023
139,hammerfest,70.6634,23.6821,28.85,80,75,3.44,NO,Thu Oct 26 16:34:56 2023
140,stephenville,32.2207,-98.2023,83.25,61,75,8.05,US,Thu Oct 26 16:34:57 2023
141,hamilton,39.1834,-84.5333,76.23,60,75,11.5,US,Thu Oct 26 16:33:15 2023
